index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
224,packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed44,2318595_224,0.016,0.95,0.99,44,3.700013725977754,443.5487761400873,317.4149929357227,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed44
225,packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed42,2318595_225,0.016,0.95,0.999,42,3.9041289067742215,442.3483552640537,318.422189027071,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed42
226,packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed43,2318595_226,0.016,0.95,0.999,43,3.8385971181226743,452.79285545204766,324.25994310702663,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed43
227,packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed44,2318595_227,0.016,0.95,0.999,44,3.9250890802483647,432.6546145550674,308.73978808219545,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.999-seed44
228,packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed42,2318595_228,0.016,0.975,0.95,42,3.7472113556052915,446.0948834409937,317.55149901565164,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed42
229,packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed43,2318595_229,0.016,0.975,0.95,43,3.7174073787891873,448.6900324949529,320.5237016623141,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed43
230,packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed44,2318595_230,0.016,0.975,0.95,44,3.740701859240062,437.8586071280297,313.1199342138134,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.95-seed44
231,packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed42,2318595_231,0.016,0.975,0.98,42,3.7274617680393987,445.24169312999584,318.2922184608178,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed42
232,packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed43,2318595_232,0.016,0.975,0.98,43,3.687952861610308,447.85401478700805,323.3433129618643,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed43
233,packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed44,2318595_233,0.016,0.975,0.98,44,3.7071282219755295,447.04782230895944,318.2442136374302,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.98-seed44
234,packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed42,2318595_234,0.016,0.975,0.99,42,3.714329832713364,445.1011298408266,318.937903648708,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed42
235,packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed43,2318595_235,0.016,0.975,0.99,43,3.6817454530562355,446.38633734104224,319.7118730051443,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed43
236,packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed44,2318595_236,0.016,0.975,0.99,44,3.7199371652022233,438.8037865420338,313.41390974691603,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.99-seed44
237,packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed42,2318595_237,0.016,0.975,0.999,42,3.82443075918061,446.5481537199812,321.63206766196527,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed42
238,packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed43,2318595_238,0.016,0.975,0.999,43,3.762219661516844,445.5257158620516,318.9109840459423,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed43
239,packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed44,2318595_239,0.016,0.975,0.999,44,3.83348807749302,442.65557297400665,316.09866846585646,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.975-beta2-0.999-seed44
