step,epoch,tokens,lr,mixing_step,gamma
3740,12,122372096,0.004103550532092498,3739,0.8923807069447288
3744,12,122486784,0.004102073433771367,3743,0.8917383866913329
3760,13,123011072,0.004095304920162777,3759,0.8887980376475282
3780,13,123666432,0.004086807348596574,3779,0.8851134332514349
3800,13,124321792,0.004078268967950958,3799,0.8814188423100376
3820,13,124977152,0.004069690019062038,3819,0.877714479499575
3840,13,125632512,0.004061070743910205,3839,0.8740005596382531
3860,13,126287872,0.004052411385613303,3859,0.8702772976677406
3880,13,126943232,0.004043712188419774,3879,0.8665449086346722
3900,13,127598592,0.004034973397701767,3899,0.8628036076721698
3920,13,128253952,0.00402619525994822,3919,0.8590536099813809
3940,13,128909312,0.004017378022757901,3939,0.855295130813033
3960,13,129564672,0.004008521934832433,3959,0.8515283854490121
3980,13,130220032,0.003999627245969271,3979,0.8477535891839616
4000,13,130875392,0.003990694207054662,3999,0.8439709573069051
4020,13,131530752,0.003981723070056563,4019,0.8401807050828994
4040,13,132186112,0.00397271408801754,4039,0.8363830477347104
4056,13,132694016,0.003965706258278632,4055,0.8334349068474474
4060,14,132825088,0.003963894135466174,4059,0.8326734075090497
4080,14,133480448,0.003954811157011365,4079,0.828861757071593
4100,14,134135808,0.003945691092601074,4099,0.8250433413684389
4120,14,134791168,0.003936534199478559,4119,0.8212183752737192
4140,14,135446528,0.003927340735925874,4139,0.8173870735286117
4160,14,136101888,0.003918110961256596,4159,0.8135496507232323
4180,14,136757248,0.003908845135808498,4179,0.809706321278559
4200,14,137412608,0.003899543520936217,4199,0.805857299428408
4220,14,138067968,0.0038902063790038754,4219,0.8020027992014489
4240,14,138723328,0.003880833973377681,4239,0.7981430344032694
4260,14,139378688,0.003871426568418502,4259,0.7942782185984885
4280,14,140034048,0.003861984429474407,4279,0.7904085650929211
4300,14,140689408,0.003852507822873182,4299,0.7865342869157934
4320,14,141344768,0.003842997015914819,4319,0.7826555968020156
4340,14,142000128,0.003833452276863971,4339,0.778772707174506
4360,14,142655488,0.003823873874942399,4359,0.7748858301265821
4368,14,142901248,0.0038202733506252098,4367,0.7734272664559539
4380,15,143294464,0.003814502779987077,4379,0.7710924880417047
4400,15,143949824,0.00380485868850767,4399,0.7671983575608999
4420,15,144605184,0.0037951817406768136,4419,0.7633008685165685
4440,15,145260544,0.0037854722094453827,4439,0.7594002315188809
4460,15,145915904,0.003775730368683312,4459,0.7554966567616945
4480,15,146571264,0.0037659564931718636,4479,0.7515903540053218
4500,15,147226624,0.003756150858595887,4499,0.7476815325593731
4520,15,147881984,0.003746313741536032,4519,0.7437704012656654
4540,15,148537344,0.0037364454194609566,4539,0.7398571684812115
4560,15,149192704,0.0037265461707194944,4559,0.7359420420612794
4580,15,149848064,0.003716616274532808,4579,0.7320252293425342
4600,15,150503424,0.003706656010986508,4599,0.7281069371262543
4620,15,151158784,0.0036966656610227583,4619,0.7241873716616313
4640,15,151814144,0.003686645506432349,4639,0.7202667386291536
4660,15,152469504,0.003676595829846747,4659,0.7163452431240707
4680,15,153108480,0.00366676924167335,4679,0.712521149859095
4700,16,153763840,0.003656662092699308,4699,0.7085985511443559
4720,16,154419200,0.00364652626745118,4719,0.7046756964941218
4740,16,155074560,0.003636362051823076,4739,0.7007527885155543
4760,16,155729920,0.003626169732509891,4759,0.6968300291496302
4780,16,156385280,0.003615949596999223,4779,0.6929076196551464
4800,16,157040640,0.003605701933563259,4799,0.68898576059282
4820,16,157696000,0.0035954270312506522,4819,0.6850646518094866
4840,16,158351360,0.003585125179878358,4839,0.6811444924223939
4860,16,159006720,0.003574796670023469,4859,0.6772254808036017
4880,16,159662080,0.0035644417930150124,4879,0.6733078145644774
4900,16,160317440,0.003554060840925737,4899,0.6693916905403012
4920,16,160972800,0.003543654106563872,4919,0.6654773047749724
4940,16,161628160,0.003533221883464869,4939,0.6615648525058226
4960,16,162283520,0.003522764465883124,4959,0.657654528148542
4980,16,162938880,0.0035122821487836744,4979,0.6537465252822068
4992,16,163315712,0.0035062436565251502,4991,0.6515005497760759
5000,17,163577856,0.0035020381983406307,4999,0.6499386416673946
5020,17,164233216,0.0034915075739716415,5019,0.6460357891162928
5040,17,164888576,0.003480952931726159,5039,0.642135828862035
5060,17,165543936,0.0034703745693115706,5059,0.638238951012381
5080,17,166199296,0.003459772785104318,5079,0.6343453447656949
5100,17,166854656,0.003449147878141489,5099,0.6304551983966661
5120,17,167510016,0.0034385001481123767,5119,0.6265686992421459
5140,17,168165376,0.003427829895350029,5139,0.6226860336871081
5160,17,168820736,0.0034171374208227753,5159,0.61880738715073
5180,17,169476096,0.0034064230261257413,5179,0.614932944072601
5200,17,170131456,0.003395687013472337,5199,0.6110628878990508
5220,17,170786816,0.003384929685685737,5219,0.6071974010696112
5240,17,171442176,0.0033741513461903357,5239,0.6033366650035996
5260,17,172097536,0.0033633522990031885,5259,0.5994808600868362
5280,17,172752896,0.0033525328487254424,5279,0.5956301656584909
5300,17,173408256,0.0033416933005337374,5299,0.5917847599980598
5304,17,173522944,0.0033397943360646146,5303,0.5911123709843883
5320,18,174047232,0.0033311056824412736,5319,0.5880407507727
5340,18,174702592,0.003320227339619731,5339,0.584206309993474
5360,18,175357952,0.0033093298101030504,5359,0.5803776819722896
5380,18,176013312,0.003298413401270197,5379,0.5765550406503265
5400,18,176668672,0.003287478421032654,5399,0.5727385588463132
5420,18,177324032,0.0032765251778257335,5419,0.5689284082443167
5440,18,177979392,0.0032655539805998782,5439,0.5651247593816773
5460,18,178634752,0.0032545651388119503,5459,0.5613277816370822
5480,18,179290112,0.0032435589624164943,5479,0.5575376432187816
5500,18,179945472,0.003232535761857004,5499,0.5537545111529507
5520,18,180600832,0.0032214958480571627,5519,0.549978551272196
5540,18,181256192,0.003210439532412068,5539,0.5462099282042042
5560,18,181911552,0.003199367126779456,5559,0.5424488053605449
5580,18,182566912,0.0031882789434709005,5579,0.5386953449256139
5600,18,183222272,0.003177175295243007,5599,0.5349497078457337
5616,18,183730176,0.003168559530147771,5615,0.5320523217589884
5620,19,183861248,0.0031663346474336707,5619,0.5313053966018062
5640,19,184516608,0.003155201376499946,5639,0.5275756786070095
5660,19,185171968,0.0031440535736425982,5659,0.52385425535735
5680,19,185827328,0.003132891553299878,5679,0.5201412827729575
5700,19,186482688,0.0031217156303110596,5699,0.5164369154838916
5720,19,187138048,0.003110526119907558,5719,0.5127413068201516
5740,19,187793408,0.003099323337704038,5739,0.509054608801839
5760,19,188448768,0.0030881075996895173,5759,0.5053769721294814
5780,19,189104128,0.003076879222218445,5779,0.501708546174509
5800,19,189759488,0.003065638522001782,5799,0.4980494789698932
5820,19,190414848,0.003054385816098072,5819,0.4943999172009446
5840,19,191070208,0.0030431214219044916,5839,0.49076000619626786
5860,19,191725568,0.0030318456571479012,5859,0.4871298899188827
5880,19,192380928,0.0030205588398758837,5879,0.4835097109575027
5900,19,193036288,0.0030092612884477727,5899,0.4798996105179794
5920,19,193691648,0.0029979533215256705,5919,0.47629972841490664
5928,19,193937408,0.0029937102137755573,5927,0.47495243533666603
5940,20,194330624,0.0029869183301426956,5939,0.47279981387209674
5960,20,194985984,0.002975590729924516,5959,0.46922051827728406
5980,20,195641344,0.0029642536639341585,5979,0.4656518486612079
6000,20,196296704,0.0029529074519482864,5999,0.4620939392284662
6020,20,196952064,0.002941552414001536,6019,0.45854692275309555
6040,20,197607424,0.0029301888703774947,6039,0.45501093057116887
6060,20,198262784,0.002918817141599661,6059,0.45148609257355976
6080,20,198918144,0.0029074375484224066,6079,0.4479725371988773
6100,20,199573504,0.0028960504118219297,6099,0.4444703914265703
6120,20,200228864,0.002884656052987201,6119,0.4409797807701996
6140,20,200884224,0.0028732547933109018,6139,0.4375008292708817
