horizon,beta1,beta2,lr,sync,awc8,difference,pairedSD,differenceSeed42,differenceSeed43,differenceSeed44
120,0.9,0.98,0.002,3.3543522986070413,3.4308678258179266,0.07651552721088528,0.0033301943171115977,0.08032040843780308,0.07509511701815708,0.07413105617669613
120,0.9,0.98,0.003,3.356507689919215,3.4221141994227793,0.06560650950356406,0.007202215054355338,0.06292446034507782,0.07376492808072,0.060130140084893924
120,0.9,0.9,0.003,3.3674966892674543,3.5285128112090107,0.16101612194155646,0.0018507500997042806,0.16110540293995124,0.15912234715598395,0.16282061572873507
120,0.9,0.9,0.002,3.370755174542539,3.540237143338496,0.169481968795957,0.0034040586688616225,0.1660296980969065,0.16958053365963321,0.1728356746313322
160,0.95,0.999,0.003,3.3170908548421747,3.332261551229621,0.01517069638744628,0.0010221101692089597,0.014841760793392833,0.014353553146829068,0.016316775222116497
160,0.95,0.999,0.002,3.317204580420937,3.344397236925324,0.02719265650438718,0.001676851294355573,0.029123659121825796,0.02635065390807556,0.02610365648326063
160,0.95,0.98,0.003,3.3208448444381964,3.3709894636019277,0.05014461916373136,0.0025438040805459057,0.04793426722969851,0.05292511523329235,0.049574475028203224
160,0.95,0.98,0.002,3.323220085736734,3.384038491885475,0.06081840614874068,0.0008140421419306584,0.06133073615092455,0.05987974346597813,0.061244738829319356
160,0.9,0.999,0.003,3.3275408082728717,3.3531905825714268,0.025649774298555084,0.005982794375230726,0.02404768351758335,0.032270511036821325,0.02063112834125924
160,0.9,0.999,0.002,3.328485655405764,3.3582669115443813,0.029781256138617263,0.0018894605872884216,0.02956398171932939,0.03176996121431186,0.028009825482209205
160,0.95,0.9,0.003,3.328727507246141,3.4383476043449694,0.10962009709882858,0.0022019388311216416,0.11172714713255116,0.10979896395655331,0.10733418020738217
160,0.95,0.9,0.002,3.3295952335487438,3.4468587477377874,0.11726351418904368,0.002178400118423541,0.11474828523880376,0.1184957402445157,0.11854651708381292
160,0.9,0.98,0.002,3.330671550651679,3.4034974319020566,0.07282588125037748,0.003162028520358779,0.07647624587566426,0.07093322345771735,0.07106817441775082
160,0.9,0.98,0.003,3.3327404335495836,3.3972122043651947,0.06447177081561106,0.006893993410784198,0.0616065952359377,0.07233632734146989,0.05947238986942516
160,0.9,0.9,0.003,3.3439833805550414,3.506478882040566,0.1624955014855245,0.0027597915736259147,0.16090415594850516,0.16090011506066038,0.16568223344740662
160,0.9,0.9,0.002,3.3473322145800837,3.51394698441062,0.16661476983053625,0.0040659822251098935,0.16331845813118884,0.16536759178919347,0.17115825957122643
