id,method,horizon,beta1,beta2,lr,mean,sd,rank,lossSeed42,lossSeed43,lossSeed44
sync-wsd-h160--0.003--0.95--0.98,sync,160,0.95,0.98,0.003,3.3208448444381964,0.002403283101985601,3,3.3181250881633693,3.321727266794994,3.3226821783562257
sync-wsd-h160--0.002--0.95--0.98,sync,160,0.95,0.98,0.002,3.323220085736734,0.00416503809341575,4,3.3210442227505452,3.3280224159050658,3.3205936185545912
sync-wsd-h160--0.003--0.9--0.999,sync,160,0.9,0.999,0.003,3.3275408082728717,0.0011574846653871582,5,3.3288749161129143,3.326803840448947,3.326943668256754
sync-wsd-h160--0.002--0.9--0.999,sync,160,0.9,0.999,0.002,3.328485655405764,0.0022900525477398802,6,3.3289655426657414,3.3259936856136956,3.330497737937856
sync-wsd-h160--0.003--0.95--0.9,sync,160,0.95,0.9,0.003,3.328727507246141,0.0028060610556122044,7,3.3256956317066297,3.329253608321027,3.3312332817107655
sync-wsd-h160--0.002--0.95--0.9,sync,160,0.95,0.9,0.002,3.3295952335487438,0.0024072760467830187,8,3.3268325459296793,3.330710784572413,3.3312423701441385
sync-wsd-h160--0.002--0.9--0.98,sync,160,0.9,0.98,0.002,3.330671550651679,0.0028791885548950236,9,3.332162405103496,3.3273526546602206,3.3324995921913207
sync-wsd-h160--0.003--0.9--0.98,sync,160,0.9,0.98,0.003,3.3327404335495836,0.0028439723167139053,10,3.3353408910110067,3.329703427837872,3.333176981799873
sync-wsd-h160--0.003--0.9--0.9,sync,160,0.9,0.9,0.003,3.3439833805550414,0.002036683070620778,11,3.3454572941441034,3.341659362961695,3.344833484559326
sync-wsd-h160--0.002--0.9--0.9,sync,160,0.9,0.9,0.002,3.3473322145800837,0.003551244718494242,12,3.3511317501123843,3.344096787293426,3.3467681063344408
awc8-wsd-h20--0.006--0.95--0.999,awc8,20,0.95,0.999,0.006,3.593127960885607,0.004362500831615707,1,3.5881057930940465,3.595977846361822,3.5953002432009535
awc8-wsd-h20--0.008--0.95--0.999,awc8,20,0.95,0.999,0.008,3.595218705802386,0.0068419775755593345,2,3.602557061427824,3.589014955110382,3.5940841008689515
awc8-wsd-h20--0.004--0.95--0.999,awc8,20,0.95,0.999,0.004,3.598206377171588,0.004633891182615248,3,3.5957114146924805,3.5953545512546574,3.603553165567626
awc8-wsd-h20--0.01--0.95--0.999,awc8,20,0.95,0.999,0.01,3.598368447078826,0.008263361405955467,4,3.5950639300065372,3.5922687209068687,3.6077726903230727
awc8-wsd-h20--0.003--0.95--0.999,awc8,20,0.95,0.999,0.003,3.6066098498699666,0.007635884629248481,5,3.5982387195327967,3.613193303011285,3.608397527065818
awc8-wsd-h20--0.006--0.9--0.999,awc8,20,0.9,0.999,0.006,3.608488372597223,0.0029327199273142,6,3.6054565734078152,3.6113107910124556,3.608697753371398
awc8-wsd-h20--0.008--0.95--0.98,awc8,20,0.95,0.98,0.008,3.6157927299332138,0.003917171105035399,7,3.616572170045111,3.6115444370452328,3.6192615827092975
awc8-wsd-h20--0.01--0.95--0.98,awc8,20,0.95,0.98,0.01,3.616380666700581,0.005264312419771497,8,3.6172776136154665,3.6107255052433764,3.621138881242901
awc8-wsd-h20--0.004--0.9--0.999,awc8,20,0.9,0.999,0.004,3.617780482256928,0.0034434180287469147,9,3.6178593849568252,3.6142982909380508,3.6211837708759087
awc8-wsd-h20--0.006--0.95--0.98,awc8,20,0.95,0.98,0.006,3.6184695102580164,0.0025580762230544706,10,3.620306398628966,3.6155477850644306,3.6195543470806535
awc8-wsd-h20--0.01--0.9--0.999,awc8,20,0.9,0.999,0.01,3.6196528218895376,0.001402791386443604,11,3.621028274060837,3.6182242029862475,3.6197059886215275
awc8-wsd-h20--0.008--0.9--0.999,awc8,20,0.9,0.999,0.008,3.620467074432088,0.00728790829689597,12,3.619966783967022,3.613442201490631,3.6279922378386114
awc8-wsd-h20--0.004--0.95--0.98,awc8,20,0.95,0.98,0.004,3.6256221185743533,0.003120176603423805,13,3.622101986832102,3.6267173488083095,3.628047020082648
awc8-wsd-h20--0.003--0.9--0.999,awc8,20,0.9,0.999,0.003,3.6363066496541165,0.010322029330621822,14,3.6250492355354593,3.645326117693374,3.638544595733517
awc8-wsd-h20--0.003--0.95--0.98,awc8,20,0.95,0.98,0.003,3.636710460803709,0.004510471944344464,15,3.6329989668651663,3.6417305349872295,3.6354018805587303
awc8-wsd-h20--0.006--0.9--0.98,awc8,20,0.9,0.98,0.006,3.6398445696466655,0.0049064320526879665,16,3.6348810709061317,3.64469187089275,3.639960767141114
awc8-wsd-h20--0.008--0.9--0.98,awc8,20,0.9,0.98,0.008,3.641100671248098,0.0019645214433600885,17,3.641203605182922,3.6390867063940076,3.6430117021673647
awc8-wsd-h20--0.002--0.95--0.999,awc8,20,0.95,0.999,0.002,3.6425086643654923,0.0058067813924858,18,3.649128402327742,3.6382752088299606,3.640122381938774
awc8-wsd-h20--0.01--0.9--0.98,awc8,20,0.9,0.98,0.01,3.645911596254478,0.0038716422076812227,19,3.649899225139402,3.6421674317637716,3.64566813186026
awc8-wsd-h20--0.004--0.9--0.98,awc8,20,0.9,0.98,0.004,3.6575778625839512,0.007069568523439969,20,3.6576849139433754,3.6645932975147146,3.6504553762937646
awc8-wsd-h20--0.002--0.9--0.999,awc8,20,0.9,0.999,0.002,3.6662959726376187,0.005473387527900628,21,3.6699918494163555,3.660008063284621,3.6688880052118806
awc8-wsd-h20--0.003--0.9--0.98,awc8,20,0.9,0.98,0.003,3.6728138737677014,0.0015244826198934308,22,3.673098105839217,3.67417623649733,3.671167278966557
awc8-wsd-h20--0.002--0.95--0.98,awc8,20,0.95,0.98,0.002,3.6742099774962704,0.0032800353355847845,23,3.677922958460426,3.6730007590378038,3.6717062149905817
awc8-wsd-h20--0.008--0.95--0.9,awc8,20,0.95,0.9,0.008,3.676013767596834,0.0021694756116059128,24,3.6750836838361454,3.674464403217774,3.6784932157365837
awc8-wsd-h20--0.004--0.95--0.9,awc8,20,0.95,0.9,0.004,3.678549746340984,0.006849419940879109,25,3.6706539413275823,3.6821017310288564,3.6828935666665137
awc8-wsd-h20--0.01--0.95--0.9,awc8,20,0.95,0.9,0.01,3.6798814443602486,0.004471368582053609,26,3.6797678497909576,3.6754679553898604,3.6844085278999286
awc8-wsd-h20--0.006--0.95--0.9,awc8,20,0.95,0.9,0.006,3.680050087621374,0.0049742679037924125,27,3.674766800128119,3.6807401945053195,3.684643268230684
awc8-wsd-h20--0.003--0.95--0.9,awc8,20,0.95,0.9,0.003,3.6902677852934964,0.005680485804067837,28,3.6842535597515753,3.6910077991873904,3.695541996941523
awc8-wsd-h20--0.002--0.9--0.98,awc8,20,0.9,0.98,0.002,3.7033848576936528,0.009364715059359232,29,3.7095806459825638,3.692611871122898,3.7079620559754964
awc8-wsd-h20--0.002--0.95--0.9,awc8,20,0.95,0.9,0.002,3.711328595168671,0.0069054344974539,30,3.71129650006366,3.704439264163356,3.718250021278996
awc8-wsd-h20--0.006--0.9--0.9,awc8,20,0.9,0.9,0.006,3.7292580134199134,0.00699931428844436,31,3.7211869087289102,3.7336587401190826,3.732928391411746
awc8-wsd-h20--0.008--0.9--0.9,awc8,20,0.9,0.9,0.008,3.731895900879097,0.004660812638105759,32,3.7272634253307966,3.731839734352052,3.7365845429544415
awc8-wsd-h20--0.01--0.9--0.9,awc8,20,0.9,0.9,0.01,3.736087886472802,0.006061149090174733,33,3.7399308415913497,3.7291007105153855,3.7392321073116714
awc8-wsd-h20--0.004--0.9--0.9,awc8,20,0.9,0.9,0.004,3.7536970095842257,0.005456131743184566,34,3.759674159466903,3.75243314709979,3.7489837221859847
awc8-wsd-h20--0.003--0.9--0.9,awc8,20,0.9,0.9,0.003,3.76875942502429,0.012779098245349438,35,3.780051696458729,3.754887184131928,3.771339394482213
awc8-wsd-h20--0.002--0.9--0.9,awc8,20,0.9,0.9,0.002,3.7932996714881715,0.009331276829328952,36,3.7996437607319002,3.782585271397604,3.79766998233501
awc8-wsd-h40--0.006--0.95--0.999,awc8,40,0.95,0.999,0.006,3.476281924858702,0.0026868578194084824,1,3.4735672746780732,3.4789400999554836,3.4763383999425486
awc8-wsd-h40--0.004--0.95--0.999,awc8,40,0.95,0.999,0.004,3.4783882344776074,0.005172888125632464,2,3.4738049895081455,3.4773626034714615,3.4839971104532155
awc8-wsd-h40--0.003--0.95--0.999,awc8,40,0.95,0.999,0.003,3.4812509243786214,0.005580290905191313,3,3.4750812273482987,3.4859453615064666,3.482726184281099
awc8-wsd-h40--0.006--0.9--0.999,awc8,40,0.9,0.999,0.006,3.495560395847343,0.0012510281040475852,4,3.4943263633001638,3.496827753624678,3.495527070617188
awc8-wsd-h40--0.004--0.9--0.999,awc8,40,0.9,0.999,0.004,3.4982385707987085,0.0012428362201915067,5,3.4996621550603053,3.497683933870879,3.497369623464941
awc8-wsd-h40--0.002--0.95--0.999,awc8,40,0.95,0.999,0.002,3.506407104674681,0.0008631418170146035,6,3.5072350134506016,3.5055125890623753,3.506473711511068
awc8-wsd-h40--0.003--0.9--0.999,awc8,40,0.9,0.999,0.003,3.5079841121773114,0.006831900259429484,7,3.503650241445448,3.515859640584827,3.50444245450166
awc8-wsd-h40--0.006--0.95--0.98,awc8,40,0.95,0.98,0.006,3.5080041527679007,0.0005093588535765674,8,3.508575881067268,3.5078378357030546,3.507598741533378
awc8-wsd-h40--0.004--0.95--0.98,awc8,40,0.95,0.98,0.004,3.509863744835696,0.0025426424807640196,9,3.5070463037187873,3.5105572381927987,3.5119876925955005
