lr,beta1,beta2,seed,unclipped_loss,clipped_loss,clipped_evidence,difference,unclipped_directory,clipped_directory
0.008,0.975,0.95,43,4.04325383499412,3.6859406884765824,published_per_run_record,0.35731314651753765,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.95-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.95-seed43
0.008,0.975,0.95,44,4.08451585205336,3.698421875766031,published_per_run_record,0.386093976287329,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.95-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.95-seed44
0.008,0.975,0.98,42,3.9453931484768443,3.6515993349618583,published_per_run_record,0.293793813514986,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.98-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.98-seed42
0.008,0.975,0.98,43,4.001340177067351,3.6660972990202882,published_per_run_record,0.33524287804706265,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.98-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.98-seed43
0.008,0.975,0.98,44,4.010749422560386,3.671021443228994,published_per_run_record,0.3397279793313923,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.98-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.98-seed44
0.008,0.975,0.99,42,3.965949614707933,3.688676795028814,original_files_reaudited,0.2772728196791192,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.975-beta2-0.99-seed42
0.008,0.975,0.99,43,3.7683483210504503,3.646338180720578,original_files_reaudited,0.12201014032987212,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.99-seed43,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.975-beta2-0.99-seed43
0.008,0.975,0.99,44,3.8749612851991952,3.6687880825165196,original_files_reaudited,0.2061732026826757,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.99-seed44,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.975-beta2-0.99-seed44
0.008,0.975,0.999,42,4.413119512408323,3.6840659433437213,published_per_run_record,0.7290535690646016,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.999-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.999-seed42
0.008,0.975,0.999,43,3.9754078127131534,3.678963832315723,published_per_run_record,0.29644398039743036,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.999-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.999-seed43
0.008,0.975,0.999,44,4.394154831328676,3.657190602442735,published_per_run_record,0.7369642288859404,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.999-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.999-seed44
