kind,left,right,horizon,lr,beta1,beta2,difference,pairedSD,seedDifferences
workers,awc4-cosine-h40--0.008--0.95--0.99,awc8-cosine-h40--0.008--0.95--0.99,40,0.008,0.95,0.99,0.02198328782544297,0.002775726872844506,"[0.025177145557456093,0.020153734232942977,0.020618983685929848]"
workers,awc4-cosine-h40--0.009--0.95--0.99,awc8-cosine-h40--0.009--0.95--0.99,40,0.009,0.95,0.99,0.020152100390002186,0.008314724875430285,"[0.01061875182209926,0.023933331339080155,0.02590421800882714]"
workers,awc4-cosine-h40--0.009--0.95--0.999,awc8-cosine-h40--0.009--0.95--0.999,40,0.009,0.95,0.999,0.004767632535407203,0.00528765581996938,"[-0.0008464427716687872,0.005495987215205389,0.009653353162685008]"
workers,awc4-cosine-h40--0.011--0.974--0.99,awc8-cosine-h40--0.011--0.974--0.99,40,0.011,0.974,0.99,0.015424560503412602,0.004100208161853198,"[0.015624541951343662,0.01942111863621543,0.011228020922678716]"
workers,awc4-cosine-h40--0.007--0.95--0.999,awc8-cosine-h40--0.007--0.95--0.999,40,0.007,0.95,0.999,0.00971618055204567,0.0012024878786949654,"[0.00833756468478386,0.010548809162163941,0.010262167809189204]"
workers,awc4-cosine-h40--0.01--0.974--0.99,awc8-cosine-h40--0.01--0.974--0.99,40,0.01,0.974,0.99,0.014827464199012782,0.004858953368717764,"[0.010154832902881328,0.01985344811978118,0.014474111574375836]"
workers,awc4-cosine-h40--0.007--0.95--0.99,awc8-cosine-h40--0.007--0.95--0.99,40,0.007,0.95,0.99,0.021110278604413207,0.004473715170540423,"[0.01745591002632052,0.01977545085225696,0.026099474934662137]"
workers,awc4-cosine-h40--0.008--0.974--0.99,awc8-cosine-h40--0.008--0.974--0.99,40,0.008,0.974,0.99,0.016728795359101767,0.003005778105228646,"[0.01804308192574977,0.013289712081202332,0.018853592070353198]"
workers,awc4-cosine-h40--0.009--0.974--0.99,awc8-cosine-h40--0.009--0.974--0.99,40,0.009,0.974,0.99,0.013872011358454136,0.0026122701810320685,"[0.010969763394224064,0.014611325629831029,0.016034945051307314]"
workers,awc4-cosine-h40--0.006--0.95--0.999,awc8-cosine-h40--0.006--0.95--0.999,40,0.006,0.95,0.999,0.012722218581763034,0.0043200950844357,"[0.017383577491817626,0.011930051841114953,0.008853026412356524]"
workers,awc4-cosine-h40--0.009--0.974--0.999,awc8-cosine-h40--0.009--0.974--0.999,40,0.009,0.974,0.999,0.0038278365389157187,0.003998606433489867,"[-0.000283817916706397,0.007702887952504511,0.004064439580949042]"
workers,awc4-cosine-h40--0.006--0.95--0.99,awc8-cosine-h40--0.006--0.95--0.99,40,0.006,0.95,0.99,0.025694599241098477,0.006465993121450287,"[0.02308241529616062,0.03305803702877386,0.020943345398360957]"
workers,awc4-cosine-h40--0.008--0.974--0.999,awc8-cosine-h40--0.008--0.974--0.999,40,0.008,0.974,0.999,0.007394241695880321,0.00331031345914611,"[0.004230652160754023,0.007118093746960152,0.01083397917992679]"
workers,awc4-cosine-h40--0.011--0.974--0.999,awc8-cosine-h40--0.011--0.974--0.999,40,0.011,0.974,0.999,0.004977664621572379,0.007425960370674691,"[0.007664413552511462,-0.0034177253404346075,0.010686305652640282]"
workers,awc4-cosine-h40--0.01--0.974--0.999,awc8-cosine-h40--0.01--0.974--0.999,40,0.01,0.974,0.999,0.0026249145022303466,0.007075101135973962,"[-0.005420224574813393,0.005417094262052835,0.007877873819451597]"
workers,awc4-cosine-h40--0.007--0.974--0.999,awc8-cosine-h40--0.007--0.974--0.999,40,0.007,0.974,0.999,0.010012663458307388,0.002794770522067927,"[0.007942400241603753,0.01319168170806373,0.00890390842525468]"
workers,awc4-cosine-h40--0.005--0.95--0.999,awc8-cosine-h40--0.005--0.95--0.999,40,0.005,0.95,0.999,0.016113250276225344,0.00332611807128842,"[0.017196836155551676,0.018762451328368623,0.012380463344755732]"
workers,awc4-cosine-h40--0.01--0.9--0.999,awc8-cosine-h40--0.01--0.9--0.999,40,0.01,0.9,0.999,0.0207451539197739,0.0010648426518974036,"[0.019817347324788237,0.0205102932621104,0.02190782117242307]"
workers,sync-cosine-h40--0.01--0.9--0.999,awc4-cosine-h40--0.01--0.9--0.999,40,0.01,0.9,0.999,-0.7583728655754473,0.6636518803059148,"[-1.1615299199212958,0.007592151852125362,-1.1211808286571712]"
workers,awc4-cosine-h40--0.007--0.974--0.99,awc8-cosine-h40--0.007--0.974--0.99,40,0.007,0.974,0.99,0.01553498376414512,0.004420145892569105,"[0.012795139077618867,0.02063419934230959,0.013175612872506903]"
workers,awc4-cosine-h40--0.008--0.9--0.999,awc8-cosine-h40--0.008--0.9--0.999,40,0.008,0.9,0.999,0.021999078242990116,0.006158394163245831,"[0.028015697915654947,0.01570808132809276,0.022273455485222637]"
workers,sync-cosine-h40--0.008--0.9--0.999,awc4-cosine-h40--0.008--0.9--0.999,40,0.008,0.9,0.999,-0.0032322067309481874,0.018658884742293477,"[-0.012804522428418785,0.01827017254989194,-0.015162270314317716]"
workers,awc4-cosine-h40--0.012--0.9--0.99,awc8-cosine-h40--0.012--0.9--0.99,40,0.012,0.9,0.99,0.02411922992627306,0.0016462934773208734,"[0.022847827732976,0.02597883239175358,0.023531029654089597]"
workers,awc4-cosine-h40--0.006--0.974--0.999,awc8-cosine-h40--0.006--0.974--0.999,40,0.006,0.974,0.999,0.009941264421246357,0.005666817888902498,"[0.003719539235957914,0.011297012551798158,0.014807241475983002]"
workers,awc4-cosine-h40--0.009--0.9--0.99,awc8-cosine-h40--0.009--0.9--0.99,40,0.009,0.9,0.99,0.02991746117928562,0.003578125497124796,"[0.032743803284259076,0.031114237406422607,0.025894342847175178]"
workers,sync-cosine-h40--0.009--0.9--0.99,awc4-cosine-h40--0.009--0.9--0.99,40,0.009,0.9,0.99,0.027190105819632954,0.00985479121188634,"[0.025970142794427886,0.0180020937880081,0.03759808087646288]"
workers,awc4-cosine-h40--0.006--0.974--0.99,awc8-cosine-h40--0.006--0.974--0.99,40,0.006,0.974,0.99,0.021294670672237892,0.002441272420372512,"[0.019760692236491906,0.02001349152557852,0.02410982825464325]"
workers,awc4-cosine-h40--0.011--0.9--0.99,awc8-cosine-h40--0.011--0.9--0.99,40,0.011,0.9,0.99,0.0263008631768679,0.0048294868538453885,"[0.021807214578399403,0.025687742550657422,0.03140763240154687]"
workers,sync-cosine-h40--0.011--0.9--0.99,awc4-cosine-h40--0.011--0.9--0.99,40,0.011,0.9,0.99,-0.26295045001333045,0.49242699007040175,"[-0.8314625471402741,0.012370436825865472,0.030240760274417244]"
workers,awc4-cosine-h40--0.007--0.9--0.999,awc8-cosine-h40--0.007--0.9--0.999,40,0.007,0.9,0.999,0.01754568594198617,0.004630733652745952,"[0.014385670556626096,0.015390131931804163,0.022861255337528252]"
workers,sync-cosine-h40--0.007--0.9--0.999,awc4-cosine-h40--0.007--0.9--0.999,40,0.007,0.9,0.999,0.014231422980881092,0.004190236636043984,"[0.009465397389625263,0.01733681594904013,0.015892055603977884]"
workers,awc4-cosine-h40--0.008--0.9--0.99,awc8-cosine-h40--0.008--0.9--0.99,40,0.008,0.9,0.99,0.03317770485691381,0.00696485069026618,"[0.02725762936925058,0.03142354332589736,0.04085194187559349]"
workers,sync-cosine-h40--0.008--0.9--0.99,awc4-cosine-h40--0.008--0.9--0.99,40,0.008,0.9,0.99,0.02515154403130652,0.007387410837700905,"[0.021944537850934864,0.01990959809281101,0.033600496150173687]"
workers,awc4-cosine-h40--0.01--0.9--0.99,awc8-cosine-h40--0.01--0.9--0.99,40,0.01,0.9,0.99,0.025543089077781616,0.009722432039550224,"[0.02500305953038806,0.03552428095982263,0.016101926743134154]"
workers,sync-cosine-h40--0.01--0.9--0.99,awc4-cosine-h40--0.01--0.9--0.99,40,0.01,0.9,0.99,0.030232243812505555,0.002246647558519698,"[0.029297760764399605,0.028603660599896497,0.03279531007322056]"
workers,awc4-cosine-h40--0.007--0.9--0.99,awc8-cosine-h40--0.007--0.9--0.99,40,0.007,0.9,0.99,0.033818153317729006,0.002485004661705428,"[0.034149337952034564,0.03118416360100751,0.036120958400144954]"
workers,sync-cosine-h40--0.007--0.9--0.99,awc4-cosine-h40--0.007--0.9--0.99,40,0.007,0.9,0.99,0.026597953570862476,0.0011802553724996005,"[0.027684195177865245,0.025342048001301798,0.026767617533420385]"
workers,awc4-cosine-h40--0.006--0.9--0.999,awc8-cosine-h40--0.006--0.9--0.999,40,0.006,0.9,0.999,0.018158420602834163,0.0029812908792383867,"[0.0178374862104258,0.0212871947480342,0.015350580850042483]"
workers,sync-cosine-h40--0.006--0.9--0.999,awc4-cosine-h40--0.006--0.9--0.999,40,0.006,0.9,0.999,0.019475767488280688,0.0028486645637440153,"[0.020904556345426872,0.01619547914179087,0.021327266977624326]"
workers,awc4-cosine-h40--0.005--0.974--0.999,awc8-cosine-h40--0.005--0.974--0.999,40,0.005,0.974,0.999,0.012515810301541771,0.0026193245283434633,"[0.010584593334970194,0.015497271397446166,0.011465566172208952]"
workers,awc4-cosine-h40--0.011--0.9--0.999,awc8-cosine-h40--0.011--0.9--0.999,40,0.011,0.9,0.999,0.006481646661351537,0.0077940538720922365,"[-0.0003191093947894075,0.0047771678295558395,0.014986881549288178]"
workers,sync-cosine-h40--0.011--0.9--0.999,awc4-cosine-h40--0.011--0.9--0.999,40,0.011,0.9,0.999,-0.8609152723845038,0.764156642837872,"[-1.2334925431912476,0.018067384757106897,-1.367320658719371]"
workers,awc4-cosine-h40--0.005--0.95--0.99,awc8-cosine-h40--0.005--0.95--0.99,40,0.005,0.95,0.99,0.021214260521708717,0.0025014854633329253,"[0.018985287041702215,0.023919717859283374,0.02073777666414056]"
workers,awc4-cosine-h40--0.009--0.9--0.999,awc8-cosine-h40--0.009--0.9--0.999,40,0.009,0.9,0.999,0.012479039063983214,0.0009793435471663488,"[0.01263338571162409,0.013372044392601534,0.011431687087724018]"
workers,sync-cosine-h40--0.009--0.9--0.999,awc4-cosine-h40--0.009--0.9--0.999,40,0.009,0.9,0.999,0.005780981751536185,0.02996357260666554,"[-0.02831887428121327,0.01775985985056261,0.027901959685259214]"
workers,awc4-cosine-h40--0.005--0.974--0.99,awc8-cosine-h40--0.005--0.974--0.99,40,0.005,0.974,0.99,0.02269473366371037,0.00233031540561703,"[0.02433814557725711,0.023718229010715408,0.02002782640315859]"
workers,awc4-cosine-h40--0.012--0.9--0.999,awc8-cosine-h40--0.012--0.9--0.999,40,0.012,0.9,0.999,0.004529103667849495,0.010736105205250287,"[0.005608483743253068,0.014684747143779653,-0.006705919883484235]"
workers,awc4-cosine-h40--0.006--0.9--0.99,awc8-cosine-h40--0.006--0.9--0.99,40,0.006,0.9,0.99,0.0369050472917681,0.001513158249871337,"[0.0385861055351997,0.03647704729120216,0.03565198904890243]"
workers,sync-cosine-h40--0.006--0.9--0.99,awc4-cosine-h40--0.006--0.9--0.99,40,0.006,0.9,0.99,0.02160989760030141,0.012891188867839203,"[0.019245256762549623,0.03551971210511695,0.010064723933237651]"
